timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1528191368.765455,0.212707,0.486502,3.031648,0.010200,0.043264,-0.005289,0.186613,-0.467536,-0.864052,0.007021,-0.002053,0.002815,-7.909790,-23.985716,-42.944763,,,,,,,
1528191368.785607,0.213638,0.486689,3.031421,0.010294,0.034672,-0.009556,0.187399,-0.467702,-0.863792,0.001078,0.000661,0.003166,-7.765854,-23.903603,-43.089020,,,,,,,
1528191368.805760,0.213950,0.486810,3.031225,0.004262,-0.003094,-0.003152,0.187656,-0.467809,-0.863678,0.008388,-0.004420,0.004242,-7.671509,-23.762117,-42.863190,,,,,,,
1528191368.825913,0.213711,0.486891,3.031277,0.006369,-0.005282,0.006466,0.187441,-0.467880,-0.863686,0.008649,-0.007660,0.002190,-7.932922,-23.929161,-42.712952,,,,,,,
1528191368.846066,0.213793,0.487025,3.031325,0.006276,0.006592,0.001123,0.187499,-0.467999,-0.863609,0.000352,-0.002354,-0.004143,-7.830917,-23.916199,-42.832153,,,,,,,
1528191368.866218,0.214094,0.487222,3.031069,0.016874,0.014269,-0.014885,0.187740,-0.468173,-0.863463,-0.007900,0.001345,-0.002306,-7.701279,-24.084253,-42.907471,,,,,,,
1528191368.886371,0.214881,0.487495,3.030525,0.015701,0.028289,-0.020232,0.188392,-0.468414,-0.863190,-0.006126,0.003006,0.002793,-7.729263,-23.926956,-42.741699,,,,,,,
1528191368.906524,0.215223,0.487609,3.030332,0.003184,-0.004213,0.004323,0.188675,-0.468515,-0.863073,-0.000657,-0.000891,-0.001307,-7.753433,-23.734873,-42.671204,,,,,,,
1528191368.926677,0.214503,0.487845,3.030535,0.019358,-0.034334,0.013957,0.188030,-0.468723,-0.863101,-0.007855,0.000629,-0.003858,-7.794052,-23.868858,-42.722504,,,,,,,
1528191368.946830,0.214274,0.488518,3.030450,0.041392,-0.000722,-0.005240,0.187766,-0.469317,-0.862835,-0.012183,-0.004270,0.001294,-7.673508,-23.861170,-42.948059,,,,,,,
1528191368.966982,0.214810,0.489375,3.029590,0.048826,0.011348,-0.040468,0.188143,-0.470075,-0.862341,-0.008058,-0.006198,0.003286,-7.826736,-23.950388,-42.678925,,,,,,,
1528191368.987135,0.215692,0.489765,3.028245,0.017064,0.009117,-0.058654,0.188863,-0.470419,-0.861996,-0.004980,-0.005137,0.006680,-7.786407,-23.972048,-42.591858,,,,,,,
1528191369.007288,0.216252,0.489305,3.027019,-0.025291,-0.002986,-0.054433,0.189393,-0.470013,-0.862101,0.000838,-0.000309,0.000758,-7.903961,-23.976446,-42.724091,,,,,,,
1528191369.027441,0.216577,0.488594,3.026275,-0.022265,0.005516,-0.029878,0.189745,-0.469385,-0.862366,0.002226,0.001963,-0.014206,-8.012787,-23.885147,-42.669037,,,,,,,
1528191369.047594,0.216989,0.488476,3.025867,0.011518,0.019624,-0.014894,0.190112,-0.469281,-0.862342,-0.003024,0.001950,-0.021280,-7.670227,-23.830597,-42.673676,,,,,,,
1528191369.067746,0.218198,0.489024,3.025035,0.040967,0.057631,-0.042622,0.191098,-0.469764,-0.861860,-0.009015,-0.000435,-0.015825,-7.736298,-23.797331,-42.370697,,,,,,,
1528191369.087899,0.220181,0.489490,3.023534,0.029359,0.057663,-0.061859,0.192759,-0.470176,-0.861266,-0.003062,-0.004189,-0.005647,-7.763916,-23.951288,-42.558990,,,,,,,
1528191369.108052,0.221503,0.489699,3.022113,0.023372,0.013424,-0.052243,0.193876,-0.470360,-0.860914,-0.001844,0.001259,0.001524,-7.590607,-23.873871,-42.533691,,,,,,,
1528191369.128205,0.221742,0.490112,3.021031,0.037434,-0.022153,-0.030866,0.194039,-0.470724,-0.860678,-0.000085,0.005530,0.000159,-7.545929,-23.827726,-42.531799,,,,,,,
1528191369.148357,0.221527,0.491079,3.020545,0.056379,-0.014648,-0.004151,0.193754,-0.471577,-0.860276,0.000033,-0.001292,0.001603,-7.514786,-23.862747,-42.212006,,,,,,,
1528191369.168510,0.221656,0.492104,3.020064,0.043499,0.003636,-0.012713,0.193759,-0.472481,-0.859778,-0.007785,-0.003944,0.004020,-7.497253,-24.060640,-42.316833,,,,,,,
