,timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix).1,User Mark,timestamp
187,1528282416.420136,0.02317,0.607927,2.132483,0.258579,-0.35343600000000003,-1.286926,0.019017,-0.571167,-0.8206129999999999,0.004039,0.141876,0.040935,-5.679245,-26.783447,-12.744415,,,,,,,,1528282416.420136
188,1528282416.440294,0.031273,0.608751,2.099894,-0.073603,-0.640975,-1.437815,0.025651,-0.571843,-0.819961,-0.13025,0.183996,0.040847,-5.508774,-27.097255999999998,-12.342773,,,,,,,,1528282416.440294
189,1528282416.46045,0.037127,0.6042029999999999,2.06397,-0.278663,-0.799793,-1.560819,0.030547,-0.5681069999999999,-0.8223870000000001,-0.074477,0.182136,-0.099335,-4.006088,-27.520557,-12.190216,,,,,,,,1528282416.46045
190,1528282416.480608,0.043439,0.5954619999999999,2.022634,-0.351065,-0.845866,-1.682608,0.035952,-0.560891,-0.827108,0.049574,0.109597,-0.21905,-3.2182459999999997,-27.608358000000003,-12.514008,,,,,,,,1528282416.480608
191,1528282416.500765,0.049317,0.586066,1.9801419999999998,-0.352987,-0.8379030000000001,-1.7658909999999999,0.041070999999999996,-0.553087,-0.83211,-0.110849,0.20009100000000002,-0.208906,-2.834641,-27.545467,-12.483551,,,,,,,,1528282416.500765
192,1528282416.5209222,0.055651,0.578244,1.940018,-0.272422,-0.757317,-1.6440970000000001,0.046579,-0.546554,-0.8361270000000001,-0.12066099999999999,0.222854,-0.208841,-2.009445,-27.498606,-12.671082,,,,,,,,1528282416.5209222
193,1528282416.54108,0.062197,0.573856,1.902166,-0.023982,-0.6864140000000001,-1.551979,0.0522,-0.542874,-0.83819,-0.088516,0.21455100000000002,-0.20838,-1.3946690000000002,-27.623487,-12.719666,,,,,,,,1528282416.54108
194,1528282416.5612369,0.067735,0.574731,1.864757,0.23370500000000002,-0.7721720000000001,-1.563381,0.056809000000000005,-0.543609,-0.837414,-0.109971,0.20169,-0.127598,-1.05925,-27.752056,-12.346863,,,,,,,,1528282416.5612369
195,1528282416.581393,0.071728,0.578913,1.825907,0.34231,-0.901581,-1.623002,0.059989,-0.547114,-0.8349049999999999,-0.098197,0.16251600000000002,-0.030299,-0.209961,-27.939221999999997,-12.383545,,,,,,,,1528282416.581393
196,1528282416.601551,0.074461,0.582009,1.785238,0.202388,-1.005336,-1.70216,0.062144000000000005,-0.5497029999999999,-0.833045,-0.10354100000000001,0.111654,0.061271000000000006,0.505646,-27.955326,-12.313934,,,,,,,,1528282416.601551
197,1528282416.6217089,0.077376,0.580534,1.7421200000000001,-0.003668,-1.052059,-1.842275,0.064635,-0.54847,-0.8336680000000001,-0.125822,0.10324900000000001,0.044376,0.8374020000000001,-27.942878999999998,-12.243041999999999,,,,,,,,1528282416.6217089
198,1528282416.641865,0.079925,0.575721,1.6965029999999999,-0.132927,-1.156764,-1.9342290000000002,0.066969,-0.5444399999999999,-0.8361219999999999,-0.106673,0.130804,0.007768000000000001,1.968491,-27.901258000000002,-12.141357000000001,,,,,,,,1528282416.641865
199,1528282416.662023,0.078965,0.569257,1.6505319999999999,-0.179769,-1.369227,-1.9289,0.06644299999999999,-0.539007,-0.839676,-0.07596499999999999,0.159276,-0.043487,2.821686,-28.067971999999997,-12.273163,,,,,,,,1528282416.662023
200,1528282416.6821802,0.073167,0.562861,1.605049,-0.153608,-1.555402,-1.929888,0.061824000000000004,-0.533608,-0.843469,-0.090007,0.194329,-0.089866,3.252457,-27.705801,-12.441101,,,,,,,,1528282416.6821802
201,1528282416.702337,0.065889,0.557837,1.558718,-0.102314,-1.576431,-1.9746669999999997,0.05586,-0.529352,-0.846561,-0.10084299999999999,0.205454,-0.10891400000000001,3.7238309999999997,-27.400694,-12.505035000000001,,,,,,,,1528282416.702337
202,1528282416.722494,0.059477999999999996,0.552805,1.5122659999999999,-0.155065,-1.503577,-1.956598,0.050589,-0.525076,-0.84955,-0.07836,0.19242,-0.101286,4.763412000000001,-27.157604,-12.758331,,,,,,,,1528282416.722494
203,1528282416.742652,0.053829999999999996,0.545074,1.4671889999999999,-0.351106,-1.4413770000000001,-1.9056060000000001,0.046007,-0.5184810000000001,-0.85385,-0.056826,0.154651,-0.07541,5.375961,-27.055349,-13.066436999999999,,,,,,,,1528282416.742652
204,1528282416.762809,0.045587,0.5349729999999999,1.42347,-0.40924299999999997,-1.590506,-1.8725509999999999,0.039204,-0.509818,-0.859389,-0.082707,0.15471500000000002,-0.14111500000000002,5.786789,-26.687022999999996,-13.20752,,,,,,,,1528282416.762809
205,1528282416.782966,0.033912,0.527419,1.380444,-0.21113400000000002,-1.678996,-1.834907,0.029298,-0.503305,-0.863612,-0.116792,0.16012,-0.20163499999999998,6.27536,-26.380703000000004,-13.712128,,,,,,,,1528282416.782966
206,1528282416.803123,0.021541,0.525408,1.33873,0.034206,-1.607996,-1.7662900000000001,0.018634,-0.501566,-0.8649180000000001,-0.12401199999999998,0.158869,-0.181453,6.615355999999999,-25.903294,-13.844085999999999,,,,,,,,1528282416.803123
207,1528282416.82328,0.011396,0.526219,1.298505,0.061228,-1.455227,-1.705439,0.009854,-0.502268,-0.864656,-0.10101,0.130747,-0.089614,6.7976529999999995,-25.821754000000002,-14.125732000000001,,,,,,,,1528282416.82328
208,1528282416.8434381,0.001997,0.525614,1.259551,-0.08441,-1.448761,-1.653303,0.0017280000000000002,-0.501744,-0.865014,-0.080997,0.115819,-0.031898,7.431366000000001,-25.707499,-14.248291,,,,,,,,1528282416.8434381
209,1528282416.863595,-0.008718,0.521509,1.221724,-0.285085,-1.455488,-1.608711,-0.007559000000000001,-0.49818900000000005,-0.867035,-0.091501,0.106695,-0.003952000000000001,7.6315,-25.420822,-14.570251,,,,,,,,1528282416.863595
210,1528282416.8837519,-0.017130000000000003,0.513389,1.184061,-0.49694499999999997,-1.26264,-1.6378489999999999,-0.014921,-0.49113199999999996,-0.870957,-0.126391,0.077467,-0.001586,8.009979,-24.91239,-14.745422,,,,,,,,1528282416.8837519
211,1528282416.903909,-0.020242,0.502657,1.145676,-0.5824060000000001,-0.974424,-1.646569,-0.017737,-0.48175500000000004,-0.8761260000000001,-0.083963,0.042089,-0.021625,8.571823,-24.624615,-15.219695999999999,,,,,,,,1528282416.903909
212,1528282416.924066,-0.021164,0.493073,1.1093709999999999,-0.425354,-0.904223,-1.5172,-0.018641,-0.47333500000000006,-0.880685,0.008784,0.008888,-0.088019,9.180297999999999,-23.978251,-15.645325,,,,,,,,1528282416.924066
213,1528282416.9442232,-0.026519,0.489604,1.0772540000000002,-0.06855599999999999,-1.1046479999999999,-1.326656,-0.023400999999999998,-0.470276,-0.882209,0.050211,-0.007828,-0.134332,9.403244,-23.499538,-16.106995,,,,,,,,1528282416.9442232
