,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,yaw,pitch,roll
2550,1.5289125446979832e+18,1,0,0,0,2.956124,-1.3437299999999999,-2.037709
2560,1.528912544899555e+18,1,0,0,0,0.070376,-1.146239,1.293775
2570,1.528912545101127e+18,1,0,0,0,0.058882000000000004,-1.3547280000000002,1.172005
2580,1.5289125453026988e+18,1,0,0,0,2.206862,-1.300158,-2.9615009999999997
2590,1.5289125455042706e+18,1,0,0,0,-1.459784,-1.532884,-0.209573
2600,1.5289125457058424e+18,1,0,0,0,-0.088279,-1.209762,1.0484040000000001
2610,1.5289125459074145e+18,1,0,0,0,0.43339799999999995,-1.172418,1.6730990000000001
2620,1.528912546108986e+18,1,0,0,0,2.496337,-1.297112,-2.6665229999999998
2630,1.528912546310558e+18,1,0,0,0,0.250456,-1.251105,1.656318
2640,1.5289125465121298e+18,1,0,0,0,-0.25107399999999996,-1.309635,0.822631
2650,1.5289125467137016e+18,1,0,0,0,0.803632,-1.395022,2.0636509999999997
2660,1.5289125469152737e+18,1,0,0,0,2.808694,-1.283999,-2.201254
2670,1.5289125471168453e+18,1,0,0,0,0.127899,-1.140218,1.371219
2680,1.5289125473184172e+18,1,0,0,0,-0.43021000000000004,-1.344824,0.608915
2690,1.528912547519989e+18,1,0,0,0,2.156491,-1.330383,-2.95483
2700,1.5289125477215608e+18,1,0,0,0,3.117118,-1.4004370000000002,-1.93714
2710,1.528912547923133e+18,1,0,0,0,-0.026325,-1.186527,1.137264
2720,1.5289125481247045e+18,1,0,0,0,0.114996,-1.286249,1.336657
2730,1.5289125483262764e+18,1,0,0,0,2.366742,-1.239363,-2.771874
2740,1.5289125485278482e+18,1,0,0,0,0.24958000000000002,-1.312525,1.609832
2750,1.52891254872942e+18,1,0,0,0,0.038433999999999996,-1.255408,1.183448
2760,1.528912548930992e+18,1,0,0,0,0.785303,-1.389865,2.072464
2770,1.5289125491325637e+18,1,0,0,0,2.877182,-1.280074,-2.166773
2780,1.5289125493341356e+18,1,0,0,0,1.2110725,-1.279903,-0.8417375
2790,1.5289125495357074e+18,1,0,0,0,-0.45503699999999997,-1.2797319999999999,0.48329799999999995
2800,1.5289125497372792e+18,1,0,0,0,1.8225639999999999,-1.392272,2.9230259999999997
